USAF,WBAN,NAME,CALL,LAT,LON,BEGIN,END
725946,24286,Jack McNamara Field,KCEC,41.78,-124.237,19730101,20180319
725945,24283,Arcata,KACV,40.978,-124.109,19730101,20180319
749485,396,Rohnerville,KFOT,40.554,-124.133,20120101,20180319
725905,23275,Ukiah Municipal,KUKI,39.126,-123.201,19730101,20180306
724957,23213,Sonoma County,KSTS,38.504,-122.81,20000101,20180306
724940,23234,San Francisco International,KSFO,37.62,-122.365,19730101,20180319
720646,228,Half Moon Bay,KHAF,37.513,-122.501,20090717,20180319
745058,23277,Watsonville Municipal,KWVI,36.936,-121.789,20060101,20180306
724915,23259,Monterey Peninsula,KMRY,36.588,-121.845,20060101,20180319
722897,93206,SLO County Regional,KSBP,35.237,-120.641,20060101,20180319
722895,23243,Lompoc,KLPC,34.667,-120.467,20060101,20180319
723925,23190,Santa Barbara Municipal,KSBA,34.426,-119.843,19730101,20180319
723927,93110,Oxnard,KOXR,34.201,-119.207,19440401,20180319
723910,93111,Point Mugu,KNTD,34.117,-119.117,19730101,20180319
722885,93197,Santa Monica Municipal,KSMO,34.016,-118.451,20060101,20180306
722950,23174,Los Angeles International,KLAX,33.938,-118.389,19440101,20180319
722970,23129,Long Beach,KLGB,33.812,-118.146,19430101,20180319
722977,93184,John Wayne,KSNA,33.68,-117.866,19400617,20180306
722920,23191,Catalina,KAVX,33.405,-118.416,19430612,20180319
722934,53121,Oceanside Municipal,KOKB,33.219,-117.349,20060101,20180319
722927,3177,McClellan Palomar,KCRQ,33.128,-117.279,20060101,20180319
722931,93107,MCAS Miramar,KNKX,32.867,-117.133,20060101,20180319
722900,23188,San Diego International,KSAN,32.734,-117.183,19420101,20180319
722906,93112,NAS North Island,KNZY,32.7,-117.2,19450401,20180319
722909,93115,Imperial Beach,KNRS,32.567,-117.117,19730101,20180319
